Nº,EJA CODE,TITLE,NEW CLASSIFICATION,CLASSIFICATION
1,1019,Chassis Core Distributed Workload,PROGRAMS,PD
2,1065,LG BX755 B-CUV Value 2021CY All New: Add back,PROGRAMS,PD
3,1084,Technology Projects,PROGRAMS,PD
4,1087,LG BX784 Local SUV 2022CY All New,PROGRAMS,PD
5,1088,LG BX-785 Mini Utility Fastback 2022CY All New,PROGRAMS,PD
6,1089,CX482 Kuga/Escape 2020CY All New: Brazil PHEV,PROGRAMS,PD
7,1095,P375 RANGER 21A Bundle,PROGRAMS,PD
8,1097,P375 Ranger 2021CY ICA,PROGRAMS,PD
9,1098,CX743 BU PL7 Brazil,PROGRAMS,PD
10,1100,SA Build Ups PL7 PL8 Homologation,PROGRAMS,PD
11,1103,22MY P702 Raptor Brazil,PROGRAMS,PD
12,1104,CX482 Escape 2023CY ICA- Feature AV,PROGRAMS,PD
13,1105,S650 Mustang 2023 MY,PROGRAMS,PD
14,1106,24MY SA CX482 MCA,PROGRAMS,PD
15,1107,LG P702 2020CY F150 New TOphat,PROGRAMS,PD
16,1108,LG U625 Explorer 2022CY Moderate,PROGRAMS,PD
17,1109,Bronco Sport CX430,PROGRAMS,PD
18,1110,U611 Aviator 2023 CY Moderate,PROGRAMS,PD
19,1111,SA BX726 PUMA,PROGRAMS,PD
20,1112,LG V363 Transit (2T) 2022CY,PROGRAMS,PD
21,1113,P703 SA Panther $ Lion Localization,PROGRAMS,PD
22,1114,V711 Transit 2T AV,PROGRAMS,PD
23,1133,CX743MCA2 PL8 Brazil,PROGRAMS,PD
25,1118,P375 RANGER 22A Bundle,PROGRAMS,PD
26,1119,23MY Brazil P702 (F150),PROGRAMS,PD
27,1121,Transit Chassis,PROGRAMS,PD
28,1123,CX727 Mustang Mach E 2023,PROGRAMS,PD
29,2200,Residual Scrap,PROGRAMS,PD
30,2253,100% Connectivity - Vehicle Line,PROGRAMS,PD
31,2354,LG B515 EcoSport 2020CY ICA-Emissions-FE: NA,PROGRAMS,PD
32,2906,Vehicle Attributes - TechCloud,PROGRAMS,PD
33,2953,LG V363 Transit-2T 2020CY ICA: SA SKD,PROGRAMS,PD
34,2954,LG P703 Ranger 2021CY New Tophat,PROGRAMS,PD
35,3104,S550,PROGRAMS,PD
36,3105,NA - Feature Development,PROGRAMS,PD
